datalen_bytes,pub_count,sub_count,best_effort,multicast,durability,mean_latency_us,mean_total_throughput_mbps,mean_sample_rate,samples_received,samples_lost
100,10,10,True,True,0,6457.933107704559,279.9703703703704,349956.04377104377,208965227.0,1545523343.0
100,10,10,True,True,1,6427.276746540669,291.2512605042017,364061.83025210083,217853578.0,1465106132.0
100,10,10,True,True,2,6619.6,275.7814814814815,344713.44444444444,205992697.0,1476193581.0
100,10,10,True,True,3,5284.6208178438665,282.2368686868687,352788.09764309763,211288454.0,1488305817.0
100,10,10,True,False,0,4012.4374050110728,365.05437710437707,456315.2356902357,272688183.0,510347687.0
100,10,10,True,False,1,4071.625630730834,354.02053872053875,442516.5202020202,264550957.0,517745255.0
100,10,10,True,False,2,3857.4393592677347,362.57828282828285,453216.3249158249,270947729.0,501481824.0
100,10,10,True,False,3,3832.629829215719,372.9592592592592,466193.28282828286,278486134.0,492524050.0
100,10,10,False,True,0,1958.9890930619122,637.4172818791947,796759.7852348994,475797937.0,0.0
100,10,10,False,True,1,2005.1368651714358,540.7954697986577,675991.4244966443,403973544.0,0.0
100,10,10,False,True,2,2090.9984661765484,526.9974832214766,658746.2298657718,393386334.0,0.0
100,10,10,False,True,3,2115.562472932005,526.0149579831933,657513.4554621849,392370182.0,0.0
100,10,10,False,False,0,1837.0669316231597,463.6040268456376,579502.5956375839,346186412.0,0.0
100,10,10,False,False,1,1829.5809403025637,463.3491610738255,579185.1812080537,345962615.0,0.0
100,10,10,False,False,2,1785.3634055265122,465.3984899328859,581737.3406040268,347466292.0,0.0
100,10,10,False,False,3,1812.0762493250945,463.45613445378143,579330.3546218488,345324270.0,0.0
100,10,1,True,False,2,9082.980298643048,57.367398648648646,71708.85641891892,43022175.0,702604180.0
100,10,1,True,False,3,5684.781613653995,58.911635750421596,73639.81787521079,43960930.0,700966081.0
100,10,1,False,True,0,3503.06636439282,142.88453781512604,178603.54453781512,106722098.0,0.0
100,10,1,False,True,1,3481.508616179176,145.76957983193276,182214.54789915966,108890452.0,0.0
